timestamp,sample_num,value,units
0.155,1,17.750,A
0.256,2,17.688,A
0.357,3,17.812,A
0.457,4,17.938,A
0.557,5,17.750,A
0.657,6,17.938,A
0.758,7,17.938,A
0.858,8,17.812,A
0.959,9,17.938,A
1.060,10,17.750,A
1.160,11,17.500,A
1.261,12,17.812,A
1.361,13,17.938,A
1.464,14,17.750,A
1.564,15,17.750,A
1.664,16,17.750,A
1.765,17,17.688,A
1.865,18,18.000,A
1.965,19,17.625,A
2.065,20,17.750,A
2.165,21,17.750,A
2.265,22,17.562,A
2.366,23,17.562,A
2.466,24,17.625,A
2.566,25,17.812,A
2.666,26,17.750,A
2.767,27,18.000,A
2.867,28,17.750,A
