timestamp,sample_num,value,units
0.153,1,59.812,A
0.253,2,59.750,A
0.353,3,59.938,A
0.454,4,60.938,A
0.554,5,60.312,A
0.654,6,60.375,A
0.754,7,59.688,A
0.854,8,59.750,A
0.954,9,59.812,A
1.054,10,59.875,A
1.155,11,60.375,A
1.255,12,60.375,A
1.355,13,59.625,A
1.455,14,59.938,A
1.555,15,60.500,A
1.655,16,60.188,A
1.756,17,59.938,A
1.856,18,60.000,A
1.956,19,60.125,A
2.056,20,59.625,A
2.156,21,59.438,A
2.256,22,60.125,A
2.356,23,59.812,A
2.456,24,60.000,A
2.557,25,59.438,A
2.657,26,60.312,A
2.757,27,60.312,A
2.857,28,60.062,A
2.957,29,59.250,A
3.057,30,60.125,A
3.158,31,59.750,A
3.258,32,59.938,A
3.358,33,59.812,A
3.458,34,59.312,A
3.558,35,59.312,A
3.658,36,59.688,A
3.758,37,59.812,A
3.858,38,60.312,A
3.959,39,59.625,A
4.059,40,59.812,A
4.159,41,60.375,A
4.259,42,59.688,A
4.359,43,60.062,A
4.459,44,59.688,A
4.560,45,59.688,A
4.660,46,59.312,A
4.760,47,59.500,A
4.860,48,59.938,A
4.960,49,59.750,A
5.060,50,59.938,A
5.160,51,59.000,A
5.261,52,59.812,A
5.361,53,59.750,A
5.461,54,59.812,A
5.561,55,59.875,A
5.661,56,59.062,A
5.761,57,59.750,A
5.861,58,59.750,A
5.962,59,59.688,A
6.062,60,59.562,A
6.162,61,60.188,A
6.262,62,59.938,A
6.362,63,59.562,A
6.462,64,59.625,A
6.562,65,60.062,A
6.663,66,60.500,A
6.763,67,59.750,A
6.863,68,58.938,A
6.963,69,59.688,A
7.063,70,59.500,A
7.163,71,60.062,A
7.264,72,60.000,A
7.364,73,60.500,A
7.464,74,59.875,A
7.564,75,59.875,A
7.664,76,59.562,A
7.764,77,59.812,A
7.864,78,60.688,A
7.965,79,60.188,A
8.065,80,59.812,A
8.165,81,60.000,A
8.265,82,59.875,A
8.365,83,59.938,A
8.465,84,60.125,A
8.566,85,60.312,A
8.666,86,59.938,A
8.766,87,60.312,A
8.866,88,59.875,A
8.966,89,59.438,A
9.066,90,59.875,A
9.166,91,60.062,A
9.267,92,60.062,A
9.367,93,60.250,A
9.467,94,60.125,A
9.567,95,60.062,A
9.667,96,59.812,A
9.767,97,59.812,A
9.867,98,60.000,A
9.968,99,59.625,A
10.068,100,59.812,A
10.168,101,59.562,A
10.268,102,60.062,A
10.368,103,59.750,A
10.468,104,60.000,A
10.568,105,59.938,A
10.669,106,59.875,A
10.769,107,59.688,A
10.869,108,60.000,A
10.969,109,59.312,A
11.069,110,59.938,A
11.169,111,59.438,A
11.269,112,59.688,A
11.370,113,59.875,A
11.470,114,59.750,A
11.570,115,60.375,A
11.670,116,60.125,A
11.770,117,59.438,A
11.870,118,59.625,A
11.970,119,59.812,A
12.071,120,59.750,A
12.171,121,60.500,A
12.271,122,59.688,A
12.371,123,60.438,A
12.471,124,59.375,A
12.571,125,60.562,A
12.671,126,59.688,A
12.772,127,60.062,A
12.872,128,59.500,A
12.972,129,60.062,A
13.072,130,59.625,A
13.172,131,59.938,A
13.272,132,60.188,A
13.373,133,60.500,A
13.473,134,59.812,A
13.573,135,60.562,A
13.673,136,60.312,A
13.773,137,60.750,A
13.873,138,60.000,A
13.973,139,59.312,A
14.074,140,59.438,A
14.174,141,59.500,A
14.274,142,60.000,A
14.374,143,59.500,A
14.474,144,60.250,A
14.574,145,60.312,A
14.675,146,59.938,A
14.775,147,59.625,A
14.875,148,59.750,A
14.975,149,60.250,A
15.075,150,59.500,A
15.175,151,59.750,A
15.275,152,59.438,A
15.375,153,60.625,A
15.476,154,59.500,A
15.576,155,59.438,A
15.676,156,59.688,A
15.776,157,60.375,A
15.876,158,59.875,A
15.976,159,59.625,A
16.077,160,60.188,A
16.177,161,60.062,A
16.277,162,59.875,A
16.377,163,59.875,A
16.477,164,60.250,A
16.577,165,60.000,A
16.677,166,59.812,A
16.778,167,59.438,A
16.878,168,59.312,A
16.978,169,59.938,A
17.078,170,59.938,A
17.178,171,59.688,A
17.278,172,59.812,A
17.378,173,59.875,A
17.479,174,59.062,A
17.579,175,60.250,A
17.679,176,58.812,A
17.779,177,60.250,A
17.879,178,60.438,A
17.979,179,59.562,A
18.080,180,59.312,A
18.180,181,60.188,A
18.280,182,60.250,A
18.380,183,59.938,A
18.480,184,59.938,A
18.580,185,60.000,A
18.680,186,59.500,A
18.781,187,59.750,A
18.881,188,60.375,A
18.981,189,60.125,A
19.081,190,60.062,A
19.181,191,59.438,A
19.281,192,59.750,A
19.382,193,59.375,A
19.482,194,59.500,A
19.582,195,59.938,A
19.682,196,59.938,A
19.782,197,59.188,A
19.882,198,59.625,A
19.982,199,59.375,A
20.083,200,59.625,A
20.183,201,60.312,A
20.284,202,59.625,A
20.384,203,60.000,A
20.484,204,59.812,A
20.584,205,59.750,A
20.684,206,60.188,A
20.784,207,59.562,A
20.884,208,60.500,A
20.985,209,59.750,A
21.085,210,59.750,A
21.185,211,59.500,A
21.285,212,59.625,A
21.385,213,59.438,A
21.485,214,59.938,A
21.585,215,60.000,A
21.686,216,59.500,A
21.786,217,59.750,A
21.886,218,60.062,A
21.986,219,60.375,A
22.086,220,59.250,A
22.186,221,59.375,A
22.287,222,60.062,A
22.387,223,59.250,A
22.487,224,59.750,A
22.587,225,59.500,A
22.687,226,59.062,A
22.787,227,59.750,A
22.887,228,59.938,A
22.987,229,59.750,A
23.088,230,59.500,A
23.188,231,59.875,A
23.288,232,60.375,A
23.388,233,60.312,A
23.488,234,59.812,A
23.588,235,60.312,A
23.688,236,59.750,A
23.789,237,60.000,A
23.889,238,60.125,A
23.989,239,60.125,A
24.089,240,59.562,A
24.189,241,59.875,A
24.289,242,59.875,A
24.390,243,60.188,A
24.490,244,59.938,A
24.590,245,59.625,A
24.690,246,59.438,A
24.790,247,59.000,A
24.890,248,60.125,A
24.990,249,59.750,A
25.091,250,60.375,A
25.191,251,60.688,A
25.291,252,59.562,A
25.392,253,60.188,A
25.492,254,59.312,A
25.592,255,60.125,A
25.692,256,60.000,A
25.792,257,59.625,A
25.892,258,60.000,A
25.992,259,59.812,A
26.093,260,60.312,A
26.193,261,59.562,A
26.293,262,59.938,A
26.393,263,59.625,A
26.493,264,59.625,A
26.593,265,58.812,A
26.694,266,59.812,A
26.794,267,59.812,A
26.894,268,60.312,A
26.994,269,60.250,A
27.094,270,60.062,A
27.194,271,59.500,A
27.294,272,59.688,A
27.395,273,59.625,A
27.495,274,60.062,A
27.595,275,59.750,A
27.695,276,59.688,A
27.795,277,60.000,A
27.895,278,60.125,A
27.995,279,60.062,A
28.096,280,60.062,A
28.196,281,60.250,A
28.296,282,60.125,A
28.396,283,60.000,A
28.496,284,60.125,A
28.596,285,60.188,A
28.696,286,59.875,A
28.797,287,60.000,A
28.897,288,59.250,A
28.997,289,59.562,A
29.097,290,60.000,A
29.197,291,60.250,A
29.297,292,60.375,A
29.398,293,59.938,A
29.498,294,60.125,A
29.598,295,59.875,A
29.698,296,59.562,A
29.798,297,60.312,A
29.898,298,60.000,A
29.998,299,60.312,A
30.099,300,60.375,A
30.199,301,59.625,A
30.299,302,59.875,A
30.399,303,59.562,A
30.499,304,60.125,A
30.599,305,59.625,A
30.699,306,59.750,A
30.800,307,60.000,A
30.900,308,59.750,A
31.000,309,60.312,A
31.100,310,59.625,A
31.200,311,59.938,A
31.300,312,59.375,A
31.401,313,59.875,A
31.501,314,60.000,A
31.601,315,59.875,A
