timestamp,sample_num,rail1_vout_v,rail1_iout_a,rail2_vout_v,rail2_iout_a,rail1_status,rail2_status
0.000,1,0.743164,78.375,0.748047,17.875,0x9003,0x9003
0.100,2,0.743164,78.750,0.748047,17.875,0x9003,0x9003
0.201,3,0.744141,79.000,0.748047,18.062,0x9003,0x9003
0.301,4,0.744141,78.875,0.750977,18.188,0x9003,0x9003
0.401,5,0.743164,78.500,0.748047,18.000,0x9003,0x9003
0.501,6,0.743164,78.625,0.748047,18.125,0x9003,0x9003
0.601,7,0.744141,78.500,0.748047,18.375,0x9003,0x9003
0.703,8,0.743164,78.875,0.748047,18.188,0x9003,0x9003
0.803,9,0.742188,79.000,0.750000,18.062,0x9003,0x9003
0.903,10,0.743164,79.125,0.750000,18.062,0x9003,0x9003
1.003,11,0.743164,79.125,0.750000,18.250,0x9003,0x9003
1.103,12,0.743164,79.375,0.748047,18.188,0x9003,0x9003
1.204,13,0.744141,79.250,0.750000,18.062,0x9003,0x9003
1.304,14,0.743164,78.500,0.748047,18.062,0x9003,0x9003
1.404,15,0.743164,78.375,0.748047,18.250,0x9003,0x9003
1.505,16,0.743164,79.125,0.748047,18.250,0x9003,0x9003
1.605,17,0.743164,79.125,0.750000,18.312,0x9003,0x9003
1.705,18,0.743164,79.250,0.750000,18.188,0x9003,0x9003
1.805,19,0.743164,78.625,0.750000,18.188,0x9003,0x9003
1.905,20,0.744141,79.500,0.748047,18.062,0x9003,0x9003
2.006,21,0.743164,78.625,0.750000,17.938,0x9003,0x9003
2.106,22,0.743164,78.875,0.750977,17.875,0x9003,0x9003
2.206,23,0.744141,78.625,0.750977,18.062,0x9003,0x9003
2.306,24,0.743164,78.875,0.750977,18.312,0x9003,0x9003
2.406,25,0.743164,79.000,0.748047,18.375,0x9003,0x9003
2.507,26,0.743164,79.375,0.748047,18.188,0x9003,0x9003
2.607,27,0.744141,79.000,0.748047,18.188,0x9003,0x9003
2.707,28,0.744141,78.875,0.750977,18.250,0x9003,0x9003
2.807,29,0.744141,78.500,0.750000,18.188,0x9003,0x9003
2.907,30,0.743164,78.625,0.750000,18.062,0x9003,0x9003
3.007,31,0.744141,78.875,0.748047,17.938,0x9003,0x9003
3.107,32,0.743164,78.875,0.750000,18.188,0x9003,0x9003
3.207,33,0.744141,78.750,0.748047,17.812,0x9003,0x9003
3.308,34,0.744141,79.000,0.747070,18.125,0x9003,0x9003
3.408,35,0.743164,79.000,0.750000,18.500,0x9003,0x9003
3.508,36,0.744141,79.250,0.750000,18.188,0x9003,0x9003
3.608,37,0.743164,78.625,0.748047,18.250,0x9003,0x9003
3.708,38,0.744141,79.000,0.748047,18.188,0x9003,0x9003
3.808,39,0.743164,78.750,0.750977,18.125,0x9003,0x9003
3.908,40,0.743164,79.375,0.750000,18.250,0x9003,0x9003
4.008,41,0.743164,78.875,0.750000,18.125,0x9003,0x9003
4.109,42,0.743164,78.875,0.748047,18.562,0x9003,0x9003
4.209,43,0.744141,78.875,0.750000,18.500,0x9003,0x9003
4.309,44,0.744141,78.875,0.750000,18.438,0x9003,0x9003
4.409,45,0.743164,79.250,0.750977,18.312,0x9003,0x9003
4.509,46,0.743164,78.250,0.750977,18.375,0x9003,0x9003
4.609,47,0.743164,79.250,0.750000,18.250,0x9003,0x9003
4.709,48,0.743164,79.125,0.750000,18.438,0x9003,0x9003
4.809,49,0.743164,78.625,0.748047,18.000,0x9003,0x9003
4.910,50,0.743164,79.000,0.750000,18.312,0x9003,0x9003
5.010,51,0.743164,78.750,0.748047,18.250,0x9003,0x9003
5.110,52,0.743164,78.750,0.750000,17.875,0x9003,0x9003
5.210,53,0.743164,79.000,0.750000,17.875,0x9003,0x9003
5.310,54,0.743164,78.625,0.750000,18.375,0x9003,0x9003
5.411,55,0.743164,79.250,0.750000,18.125,0x9003,0x9003
5.511,56,0.743164,79.125,0.750000,18.188,0x9003,0x9003
5.611,57,0.743164,78.500,0.750000,18.250,0x9003,0x9003
5.711,58,0.743164,78.750,0.750000,18.062,0x9003,0x9003
5.811,59,0.743164,79.000,0.750000,18.062,0x9003,0x9003
5.911,60,0.744141,79.250,0.750000,18.000,0x9003,0x9003
6.011,61,0.743164,78.750,0.747070,17.875,0x9003,0x9003
6.111,62,0.743164,78.625,0.750000,17.750,0x9003,0x9003
6.212,63,0.744141,79.125,0.750000,18.188,0x9003,0x9003
6.312,64,0.743164,78.500,0.748047,18.375,0x9003,0x9003
6.412,65,0.743164,78.375,0.748047,18.188,0x9003,0x9003
6.512,66,0.744141,79.000,0.750000,18.125,0x9003,0x9003
6.612,67,0.744141,78.875,0.750000,18.250,0x9003,0x9003
6.712,68,0.743164,79.000,0.750000,18.125,0x9003,0x9003
6.812,69,0.743164,78.875,0.748047,18.000,0x9003,0x9003
6.912,70,0.743164,78.250,0.750000,17.938,0x9003,0x9003
7.013,71,0.744141,79.250,0.750000,18.062,0x9003,0x9003
7.113,72,0.743164,78.750,0.748047,18.062,0x9003,0x9003
7.213,73,0.743164,78.125,0.748047,18.375,0x9003,0x9003
7.313,74,0.743164,78.500,0.750000,17.812,0x9003,0x9003
7.413,75,0.744141,78.625,0.748047,18.188,0x9003,0x9003
7.513,76,0.743164,79.125,0.750000,18.000,0x9003,0x9003
7.613,77,0.743164,78.625,0.750000,18.188,0x9003,0x9003
7.713,78,0.743164,78.750,0.747070,18.000,0x9003,0x9003
7.814,79,0.743164,79.000,0.748047,18.250,0x9003,0x9003
7.914,80,0.744141,78.750,0.748047,18.188,0x9003,0x9003
8.014,81,0.743164,78.625,0.750000,18.312,0x9003,0x9003
8.114,82,0.744141,78.875,0.748047,18.000,0x9003,0x9003
8.214,83,0.743164,79.750,0.748047,18.188,0x9003,0x9003
8.314,84,0.744141,79.125,0.750977,18.625,0x9003,0x9003
8.414,85,0.743164,79.250,0.750977,18.000,0x9003,0x9003
8.514,86,0.743164,78.875,0.748047,18.312,0x9003,0x9003
8.615,87,0.744141,79.375,0.748047,18.250,0x9003,0x9003
8.715,88,0.744141,78.750,0.748047,17.938,0x9003,0x9003
8.815,89,0.744141,79.000,0.750000,18.125,0x9003,0x9003
8.915,90,0.743164,78.625,0.750000,18.062,0x9003,0x9003
9.015,91,0.743164,78.500,0.748047,18.188,0x9003,0x9003
9.115,92,0.744141,78.750,0.750000,18.250,0x9003,0x9003
9.215,93,0.743164,78.625,0.750977,18.250,0x9003,0x9003
9.315,94,0.743164,79.000,0.750000,17.750,0x9003,0x9003
9.416,95,0.743164,78.625,0.750000,18.250,0x9003,0x9003
9.516,96,0.743164,78.750,0.750000,18.188,0x9003,0x9003
9.616,97,0.743164,79.250,0.748047,18.250,0x9003,0x9003
9.716,98,0.743164,78.375,0.748047,18.125,0x9003,0x9003
9.816,99,0.743164,79.125,0.750000,18.438,0x9003,0x9003
9.916,100,0.743164,78.875,0.750000,18.000,0x9003,0x9003
10.016,101,0.743164,78.625,0.748047,18.000,0x9003,0x9003
10.116,102,0.743164,78.500,0.748047,17.750,0x9003,0x9003
10.217,103,0.743164,79.125,0.748047,18.062,0x9003,0x9003
10.317,104,0.743164,78.625,0.750000,18.250,0x9003,0x9003
10.417,105,0.743164,79.250,0.750000,18.188,0x9003,0x9003
10.517,106,0.744141,79.250,0.750000,18.125,0x9003,0x9003
10.617,107,0.743164,79.500,0.750977,18.312,0x9003,0x9003
10.717,108,0.743164,78.875,0.748047,17.938,0x9003,0x9003
10.817,109,0.743164,79.125,0.750000,18.125,0x9003,0x9003
10.917,110,0.743164,79.375,0.750000,18.000,0x9003,0x9003
11.018,111,0.743164,79.125,0.748047,17.938,0x9003,0x9003
11.118,112,0.744141,78.875,0.748047,18.125,0x9003,0x9003
11.218,113,0.744141,78.500,0.750000,17.812,0x9003,0x9003
11.318,114,0.743164,79.125,0.748047,18.312,0x9003,0x9003
11.418,115,0.743164,78.875,0.750000,17.938,0x9003,0x9003
11.518,116,0.744141,78.875,0.750000,17.875,0x9003,0x9003
11.619,117,0.744141,79.000,0.748047,18.375,0x9003,0x9003
11.719,118,0.743164,78.875,0.748047,17.875,0x9003,0x9003
11.819,119,0.743164,78.875,0.750000,17.938,0x9003,0x9003
11.919,120,0.743164,78.500,0.750000,18.062,0x9003,0x9003
